Chnlen,StpPct,nObs,Equity,EquityMax,MaxDrawdown,NumTrades,NumPositiveTrades,PctPosTrade,AvgWinner,AvgLooser,DeltaMean,DeltaSum2_C,DeltaSum3_C,DeltaSum4_C,Var,Std,Skew,XKurt
1010,0.014,169317,508633,510149,-27283.8,468,124,0.264957,3284.96,-3668.62,1.82283,3.80883e+09,3.83393e+12,2.16942e+16,22495.2,149.984,2761.58,250.199
3010,0.011,169317,392053,393219,-23140.5,344,95,0.276163,2780.68,-2882.51,1.13434,1.9932e+09,2.85074e+12,1.95289e+16,11772,108.499,5424.16,829.294
7010,0.011,169317,348035,349201,-17610.6,228,65.5,0.287281,2457.22,-2617.46,0.874304,1.42415e+09,2.60991e+12,1.87275e+16,8411.14,91.7123,8222.3,1560.4
5010,0.011,169317,355166,356332,-19599.4,269,76,0.282528,2438.87,-2699.26,0.916377,1.61052e+09,2.70519e+12,1.90803e+16,9511.85,97.5287,7086.79,1242.53
1010,0.015,169317,505517,507150,-22762.7,439,116.5,0.265376,3266.34,-3640.93,1.80445,4.03506e+09,3.78371e+12,2.18947e+16,23831.4,154.374,2499.45,224.688
3010,0.012,169317,368973,370256,-26062.1,328,89,0.271341,2713.77,-2845.69,0.997981,2.13247e+09,2.90412e+12,2.00117e+16,12594.5,112.225,4993.35,742.109
7010,0.012,169317,327805,329088,-18973.5,220,63.5,0.288636,2543.27,-2636.23,0.754847,1.49222e+09,2.5801e+12,1.87759e+16,8813.15,93.8784,7578.63,1424.71
5010,0.012,169317,338565,339848,-22711.3,256,71.5,0.279297,2446.78,-2732.72,0.818391,1.70143e+09,2.69084e+12,1.91479e+16,10048.8,100.244,6491.83,1116.94
3010,0.013,169317,363590,364990,-28142,307,84.5,0.275244,2729.09,-3753.6,0.966192,2.26991e+09,2.8507e+12,2.01194e+16,13406.3,115.785,4463.13,658.146
7010,0.013,169317,319713,321113,-23003.3,207,60.5,0.292271,2525.21,-3529.55,0.707044,1.57199e+09,2.54361e+12,1.8831e+16,9284.29,96.355,6909.99,1287.25
5010,0.013,169317,336327,337727,-23003.3,239,68,0.284519,2458.15,-3620.18,0.80518,1.79878e+09,2.66113e+12,1.92272e+16,10623.7,103.072,5906.1,1003.15
3010,0.014,169317,366444,369351,-22376.7,287,80,0.278746,3133.21,-4211.97,0.983083,2.43373e+09,2.80038e+12,2.02861e+16,14373.8,119.891,3949.19,576.899
7010,0.014,169317,322797,324313,-20994.7,193,57,0.295337,3027.17,-3989.32,0.725276,1.67849e+09,2.5184e+12,1.89554e+16,9913.33,99.5657,6200.76,1136.19
5010,0.014,169317,338697,342150,-19753.1,223,64.5,0.289238,2888.12,-4084.67,0.819142,1.91253e+09,2.62808e+12,1.93586e+16,11295.5,106.28,5320.19,893.106
3010,0.015,169317,366842,369143,-22781.9,268,75,0.279851,3113.66,-4293.55,0.985383,2.57657e+09,2.76577e+12,2.04323e+16,15217.4,123.359,3580.59,518.116
7010,0.015,169317,325064,326698,-19856,179,53,0.296089,2996.19,-4115.99,0.738633,1.77547e+09,2.49916e+12,1.90873e+16,10486.1,102.402,5656.19,1022.22
5010,0.015,169317,336273,339516,-22947,209,60.5,0.289474,2859.87,-4198.9,0.804831,2.02098e+09,2.60636e+12,1.94995e+16,11936.1,109.252,4857.28,805.351
8010,0.005,169317,315739,318296,-12804.5,480,133.5,0.278125,1977.65,-2057.79,0.683535,7.79402e+08,2.39028e+12,1.71536e+16,4603.21,67.847,18599.8,4778.15
8010,0.006,169317,315090,318225,-16976.2,409,112.5,0.275061,1900.89,-2311.68,0.679756,8.74016e+08,2.49028e+12,1.8046e+16,5162.01,71.8471,16318.1,3996.84
8010,0.007,169317,314674,317394,-18558.3,354,96.5,0.272599,1890.23,-2584.94,0.677278,9.73115e+08,2.50889e+12,1.81313e+16,5747.3,75.8109,13993.8,3238.92
8010,0.008,169317,315928,318029,-20622.7,308,85,0.275974,1939.93,-3555.75,0.684637,1.07034e+09,2.50675e+12,1.82105e+16,6321.5,79.5079,12120.8,2688.42
8010,0.009,169317,334058,336200,-22039.4,264,76,0.287879,2070.69,-3685.99,0.791765,1.16842e+09,2.49423e+12,1.82665e+16,6900.81,83.0711,10573.9,2262.45
8010,0.01,169317,332692,333741,-20567.3,239,68.5,0.286611,2071.59,-3870.39,0.783692,1.24694e+09,2.48694e+12,1.83048e+16,7364.52,85.8168,9563.11,1990.32
8010,0.011,169317,342455,343621,-17841.2,213,61.5,0.288732,2269.06,-2598.94,0.841345,1.3422e+09,2.51231e+12,1.83645e+16,7927.16,89.0346,8650.61,1723.01
8010,0.012,169317,323020,324303,-20005,206,60,0.291262,2350.9,-2614.58,0.726594,1.39615e+09,2.47016e+12,1.84159e+16,8245.76,90.8062,8017.31,1596.68
8010,0.013,169317,315272,316671,-23003.3,194,57.5,0.296392,2336.47,-3497.89,0.680794,1.46856e+09,2.43752e+12,1.84695e+16,8673.43,93.1313,7333.51,1447.01
8010,0.014,169317,321075,324166,-23480.1,180,53.5,0.297222,2821.26,-3979.15,0.71511,1.57424e+09,2.41557e+12,1.85953e+16,9297.61,96.4241,6548.06,1267.46
